,AFFGEOID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME.1,LSAD,ALAND,AWATER,AREA,PERIMETER,CAABA_,CAABA_ID,NAME.2,Total,White,Black,AIndian,Asian,Hawaiian,Max,residuals,div,Diversity,mean.partmat
473,1400000US06037195710,6,37,195710,6037195710,1957.1,CT,483407,0,18037550502,1379632.843,19,18,South Coast,4877,3169,353,4,419,0,3169,513.6965181,0.649784704,0.350215296,11.47152439
504,1400000US06037201402,6,37,201402,6037201402,2014.02,CT,1941232,0,18037550502,1379632.843,19,18,South Coast,4574,2691,41,7,763,0,2691,-41.70510007,0.588325317,0.411674683,11.22826648
517,1400000US06037203720,6,37,203720,6037203720,2037.2,CT,321042,0,18037550502,1379632.843,19,18,South Coast,4537,3087,53,26,10,0,3087,357.2718852,0.680405554,0.319594446,11.17887617
560,1400000US06037208710,6,37,208710,6037208710,2087.1,CT,170383,0,18037550502,1379632.843,19,18,South Coast,3852,576,190,79,2380,0,2380,-2119.740866,0.617860852,0.382139148,11.58756411
591,1400000US06037211701,6,37,211701,6037211701,2117.01,CT,651518,0,18037550502,1379632.843,19,18,South Coast,3041,854,71,0,2008,0,2008,-1871.262637,0.660309109,0.339690891,11.82061567
613,1400000US06037212610,6,37,212610,6037212610,2126.1,CT,357156,0,18037550502,1379632.843,19,18,South Coast,3904,592,179,8,2281,0,2281,-2106.469769,0.584272541,0.415727459,11.66151813
711,1400000US06037227020,6,37,227020,6037227020,2270.2,CT,440119,0,18037550502,1379632.843,19,18,South Coast,3437,1245,193,33,20,0,1245,-1449.996619,0.362234507,0.637765493,11.33071262
768,1400000US06037236400,6,37,236400,6037236400,2364,CT,1340500,0,18037550502,1379632.843,19,18,South Coast,4469,320,3652,22,90,37,3652,-1516.880603,0.817185053,0.182814947,11.88322647
802,1400000US06037240020,6,37,240020,6037240020,2400.2,CT,719413,403,18037550502,1379632.843,19,18,South Coast,5564,1809,1406,16,17,5,1809,-585.0730207,0.325125809,0.674874191,11.337743
817,1400000US06037241202,6,37,241202,6037241202,2412.02,CT,1163227,0,18037550502,1379632.843,19,18,South Coast,4919,1244,1852,29,0,0,1852,-1039.4284,0.376499288,0.623500712,11.37684871
846,1400000US06037264301,6,37,264301,6037264301,2643.01,CT,420159,0,18037550502,1379632.843,19,18,South Coast,5128,4122,60,0,651,0,4122,1394.00846,0.803822153,0.196177847,12.56755902
906,1400000US06037272301,6,37,272301,6037272301,2723.01,CT,604023,0,18037550502,1379632.843,19,18,South Coast,3312,2051,227,196,279,0,2051,-635.5618277,0.619263285,0.380736715,12.23834176
