site,monitor,date,start_hour,value,variable,units,quality,prelim,name 
3674,-,2016-04-30,1,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3674,-,2016-04-30,2,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3674,-,2016-04-30,3,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3674,-,2016-04-30,4,2.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3674,-,2016-04-30,5,3.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3674,-,2016-04-30,6,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3674,-,2016-04-30,7,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3674,-,2016-04-30,8,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3674,-,2016-04-30,9,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3674,-,2016-04-30,10,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3674,-,2016-04-30,11,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3674,-,2016-04-30,12,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3674,-,2016-04-30,13,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3674,-,2016-04-30,14,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3674,-,2016-04-30,15,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3674,-,2016-04-30,16,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3674,-,2016-04-30,17,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3674,-,2016-04-30,18,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3674,-,2016-04-30,19,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3674,-,2016-04-30,20,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3674,-,2016-04-30,21,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3674,-,2016-04-30,22,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3674,-,2016-04-30,23,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
3168,-,2016-04-30,0,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Banning Airport 
3168,-,2016-04-30,1,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Banning Airport 
3168,-,2016-04-30,2,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Banning Airport 
3168,-,2016-04-30,3,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Banning Airport 
3168,-,2016-04-30,4,0.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Banning Airport 
3168,-,2016-04-30,5,2.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Banning Airport 
3168,-,2016-04-30,6,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Banning Airport 
3168,-,2016-04-30,7,2.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Banning Airport 
3168,-,2016-04-30,8,4.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Banning Airport 
3168,-,2016-04-30,9,2.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Banning Airport 
3168,-,2016-04-30,10,0.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Banning Airport 
3168,-,2016-04-30,11,2.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Banning Airport 
3168,-,2016-04-30,12,1.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Banning Airport 
3168,-,2016-04-30,15,3.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Banning Airport 
3168,-,2016-04-30,16,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Banning Airport 
3168,-,2016-04-30,17,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Banning Airport 
3168,-,2016-04-30,18,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Banning Airport 
3168,-,2016-04-30,19,17.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Banning Airport 
3168,-,2016-04-30,20,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Banning Airport 
3168,-,2016-04-30,21,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Banning Airport 
3168,-,2016-04-30,22,1.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Banning Airport 
3168,-,2016-04-30,23,1.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Banning Airport 
2943,-,2016-04-30,0,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
2943,-,2016-04-30,1,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
2943,-,2016-04-30,2,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
2943,-,2016-04-30,3,3.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
2943,-,2016-04-30,4,2.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
2943,-,2016-04-30,5,1.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
2943,-,2016-04-30,6,3.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
2943,-,2016-04-30,7,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
2943,-,2016-04-30,8,0.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
2943,-,2016-04-30,10,3.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
2943,-,2016-04-30,11,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
2943,-,2016-04-30,12,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
2943,-,2016-04-30,13,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
2943,-,2016-04-30,14,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
2943,-,2016-04-30,15,2.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
2943,-,2016-04-30,16,3.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
2943,-,2016-04-30,17,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
2943,-,2016-04-30,18,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
2943,-,2016-04-30,19,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
2943,-,2016-04-30,20,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
